Time (s);USB Avg Current (mA);;;;;Tempo norm (s);Corrente pico (mA)
1822.2558;28.727;;;;;0;51,897
1822.2560;28.652;;;;;0,001;52,773
1822.2562;29.855;;;;;0,002;52,8
1822.2564;28.682;;;;;0,003;52,773
1822.2566;29.441;;;;;0,004;52,881
1822.2568;28.796;;;;;0,005;52,827
1822.2570;28.621;;;;;0,006;34,679
1822.2572;29.866;;;;;0,007;33,652
1822.2574;28.723;;;;;0,008;33,627
1822.2576;29.449;;;;;0,009;33,658
1822.2578;28.675;;;;;0,01;33,595
1822.2580;28.664;;;;;0,011;33,574
1822.2582;29.864;;;;;0,012;33,57
1822.2584;28.617;;;;;0,013;33,646
1822.2586;29.459;;;;;0,014;33,506
1822.2588;28.682;;;;;0,015;40,422
1822.2590;28.709;;;;;0,016;54,256
1822.2592;29.891;;;;;0,017;50,198
1822.2594;28.709;;;;;0,018;52,423
1822.2596;29.525;;;;;0,019;52,382
1822.2598;28.745;;;;;0,02;52,396
1822.2600;28.688;;;;;0,021;52,423
1822.2602;29.896;;;;;0,022;52,463
1822.2604;28.667;;;;;0,023;38,544
1822.2606;29.497;;;;;0,024;33,409
1822.2608;28.652;;;;;0,025;33,399
1822.2610;28.664;;;;;0,026;33,472
1822.2612;29.866;;;;;0,027;33,447
1822.2614;28.669;;;;;0,028;33,394
1822.2616;29.46;;;;;0,029;33,541
1822.2618;28.757;;;;;0,03;33,482
1822.2620;28.761;;;;;0,031;33,476
1822.2622;29.873;;;;;0,032;41,419
1822.2624;28.713;;;;;0,033;54,162
1822.2626;29.521;;;;;0,034;50,374
1822.2628;28.661;;;;;0,035;52,423
1822.2630;29.904;;;;;0,036;52,423
1822.2632;28.624;;;;;0,037;52,382
1822.2634;29.508;;;;;0,038;52,557
1822.2636;28.731;;;;;0,039;52,49
1822.2638;28.685;;;;;0,04;36,424
1822.2640;29.901;;;;;0,041;33,478
1822.2642;28.668;;;;;0,042;33,431
1822.2644;29.491;;;;;0,043;33,464
1822.2646;28.693;;;;;0,044;33,514
1822.2648;28.751;;;;;0,045;33,535
1822.2650;29.919;;;;;0,046;33,513
1822.2652;28.742;;;;;0,047;33,503
1822.2654;29.521;;;;;0,048;33,486
1822.2656;28.748;;;;;0,049;53,461
1822.2658;28.699;;;;;0,05;54,445
1822.2660;29.861;;;;;0,051;51,924
1822.2662;28.741;;;;;0,052;52,504
1822.2664;29.548;;;;;0,053;52,638
1822.2666;28.718;;;;;0,054;52,692
1822.2668;28.778;;;;;0,055;52,76
1822.2670;29.855;;;;;0,056;52,692
1822.2672;28.708;;;;;0,057;33,599
1822.2674;29.548;;;;;0,058;33,631
1822.2676;28.734;;;;;0,059;37,901
1822.2678;28.718;;;;;0,06;34,209
1822.2680;29.932;;;;;0,061;33,618
1822.2682;28.71;;;;;0,062;33,619
1822.2684;29.503;;;;;0,063;33,661
1822.2686;28.761;;;;;0,064;33,679
1822.2688;28.686;;;;;0,065;33,716
1822.2690;29.889;;;;;0,066;54,539
1822.2692;28.671;;;;;0,067;53,622
1822.2694;29.492;;;;;0,068;52,962
1822.2696;28.708;;;;;0,069;52,935
1822.2698;28.662;;;;;0,07;52,975
1822.2700;29.866;;;;;0,071;52,948
1822.2702;28.671;;;;;0,072;52,975
1822.2704;29.446;;;;;0,073;55,739
1822.2706;28.662;;;;;0,074;54,62
1822.2708;28.672;;;;;0,075;51,061
1822.2710;29.918;;;;;0,076;56,992
1822.2712;28.637;;;;;0,077;56,44
1822.2714;29.54;;;;;0,078;56,601
1822.2716;28.764;;;;;0,079;56,736
1822.2718;28.734;;;;;0,08;56,709
1822.2720;29.905;;;;;0,081;55,59
1822.2722;28.732;;;;;0,082;49,686
1822.2724;29.575;;;;;0,083;52,921
1822.2726;28.727;;;;;0,084;53,016
1822.2728;28.694;;;;;0,085;53,043
1822.2730;29.891;;;;;0,086;52,948
1822.2732;28.697;;;;;0,087;52,975
1822.2734;29.502;;;;;0,088;113,918
1822.2736;28.688;;;;;0,089;113,918
1822.2738;28.659;;;;;0,09;113,877
1822.2740;29.824;;;;;0,091;114,093
1822.2742;28.695;;;;;0,092;114,039
1822.2744;29.494;;;;;0,093;113,972
1822.2746;28.624;;;;;0,094;113,877
1822.2748;28.759;;;;;0,095;114,133
1822.2750;29.879;;;;;0,096;114,12
1822.2752;28.663;;;;;0,097;113,972
1822.2754;29.583;;;;;0,098;113,972
1822.2756;28.745;;;;;0,099;114,174
1822.2758;28.718;;;;;0,1;114,107
1822.2760;29.929;;;;;0,101;114,012
1822.2762;28.656;;;;;0,102;113,999
1822.2764;29.495;;;;;0,103;114,268
1822.2766;28.669;;;;;0,104;114,228
1822.2768;28.65;;;;;0,105;114,053
1822.2770;29.915;;;;;0,106;114,08
1822.2772;28.595;;;;;0,107;114,336
1822.2774;29.5;;;;;0,108;114,174
1822.2776;28.775;;;;;0,109;114,039
1822.2778;28.697;;;;;0,11;114,039
1822.2780;29.901;;;;;0,111;114,322
1822.2782;28.698;;;;;0,112;114,268
1822.2784;28.764;;;;;0,113;114,026
1822.2786;28.682;;;;;0,114;114,133
1822.2788;29.922;;;;;0,115;114,376
1822.2790;28.703;;;;;0,116;114,282
1822.2792;29.528;;;;;0,117;114,107
1822.2794;28.692;;;;;0,118;114,12
1822.2796;28.628;;;;;0,119;114,39
1822.2798;29.936;;;;;0,12;114,295
1822.2800;28.64;;;;;0,121;114,12
1822.2802;29.569;;;;;0,122;114,214
1822.2804;28.697;;;;;0,123;114,417
1822.2806;28.696;;;;;0,124;114,295
1822.2808;29.904;;;;;0,125;114,174
1822.2810;28.758;;;;;0,126;114,187
1822.2812;29.455;;;;;0,127;114,43
1822.2814;28.787;;;;;0,128;114,376
1822.2816;28.725;;;;;0,129;114,201
1822.2818;29.9;;;;;0,13;114,147
1822.2820;28.8;;;;;0,131;114,484
1822.2822;29.486;;;;;0,132;114,39
1822.2824;28.684;;;;;0,133;114,214
1822.2826;28.676;;;;;0,134;114,268
1822.2828;29.878;;;;;0,135;114,538
1822.2830;28.646;;;;;0,136;114,403
1822.2832;29.48;;;;;0,137;114,268
1822.2834;28.712;;;;;0,138;114,322
1822.2836;28.649;;;;;0,139;114,444
1822.2838;29.95;;;;;0,14;114,295
1822.2840;28.715;;;;;0,141;114,322
1822.2842;29.476;;;;;0,142;114,578
1822.2844;28.693;;;;;0,143;114,47
1822.2846;28.786;;;;;0,144;114,322
1822.2848;29.843;;;;;0,145;114,349
1822.2850;28.671;;;;;0,146;114,78
1822.2852;29.525;;;;;0,147;115,05
1822.2854;28.72;;;;;0,148;114,322
1822.2856;28.729;;;;;0,149;114,322
1822.2858;29.886;;;;;0,15;114,538
1822.2860;28.706;;;;;0,151;114,497
1822.2862;29.587;;;;;0,152;114,282
1822.2864;28.722;;;;;0,153;114,295
1822.2866;28.748;;;;;0,154;114,551
1822.2868;29.938;;;;;0,155;114,484
1822.2870;28.701;;;;;0,156;114,241
1822.2872;29.44;;;;;0,157;114,214
1822.2874;28.662;;;;;0,158;114,511
1822.2876;28.692;;;;;0,159;114,444
1822.2878;29.894;;;;;0,16;114,295
1822.2880;28.662;;;;;0,161;114,309
1822.2882;29.527;;;;;0,162;114,524
1822.2884;28.676;;;;;0,163;114,47
1822.2886;28.675;;;;;0,164;114,322
1822.2888;29.872;;;;;0,165;114,322
1822.2890;28.731;;;;;0,166;114,592
1822.2892;29.509;;;;;0,167;114,47
1822.2894;28.781;;;;;0,168;114,241
1822.2896;28.727;;;;;0,169;114,295
1822.2898;29.861;;;;;0,17;114,511
1822.2900;28.718;;;;;0,171;114,43
1822.2902;29.57;;;;;0,172;114,241
1822.2904;28.718;;;;;0,173;114,214
1822.2906;28.633;;;;;0,174;114,511
1822.2908;29.901;;;;;0,175;114,47
1822.2910;28.775;;;;;0,176;114,282
1822.2912;29.526;;;;;0,177;114,187
1822.2914;28.749;;;;;0,178;114,511
1822.2916;28.663;;;;;0,179;114,47
1822.2918;29.941;;;;;0,18;114,147
1822.2920;28.697;;;;;0,181;114,201
1822.2922;29.476;;;;;0,182;114,511
1822.2924;28.673;;;;;0,183;114,39
1822.2926;28.748;;;;;0,184;114,201
1822.2928;29.936;;;;;0,185;114,241
1822.2930;28.71;;;;;0,186;114,524
1822.2932;29.524;;;;;0,187;114,43
1822.2934;28.706;;;;;0,188;114,174
1822.2936;28.695;;;;;0,189;114,214
1822.2938;28.704;;;;;0,19;114,497
1822.2940;29.543;;;;;0,191;114,376
1822.2942;28.77;;;;;0,192;114,187
1822.2944;28.772;;;;;0,193;114,187
1822.2946;29.892;;;;;0,194;114,551
1822.2948;28.757;;;;;0,195;114,444
1822.2950;29.527;;;;;0,196;114,241
1822.2952;28.685;;;;;0,197;114,268
1822.2954;28.772;;;;;0,198;114,457
1822.2956;29.876;;;;;0,199;114,457
1822.2958;28.661;;;;;0,2;114,201
1822.2960;29.545;;;;;0,201;114,255
1822.2962;28.695;;;;;0,202;114,511
1822.2964;28.683;;;;;0,203;114,376
1822.2966;29.836;;;;;0,204;114,187
1822.2968;28.632;;;;;0,205;114,107
1822.2970;29.608;;;;;0,206;114,43
1822.2972;28.691;;;;;0,207;114,39
1822.2974;28.643;;;;;0,208;114,12
1822.2976;29.893;;;;;0,209;114,16
1822.2978;28.646;;;;;0,21;114,376
1822.2980;29.543;;;;;0,211;114,417
1822.2982;28.706;;;;;0,212;114,12
1822.2984;28.739;;;;;0,213;114,133
1822.2986;29.838;;;;;0,214;114,444
1822.2988;28.73;;;;;0,215;113,446
1822.2990;29.538;;;;;0,216;53,137
1822.2992;28.681;;;;;0,217;52,989
1822.2994;28.695;;;;;0,218;53,137
1822.2996;29.852;;;;;0,219;53,083
1822.2998;28.76;;;;;0,22;53,178
1822.3000;29.497;;;;;0,221;55,739
1822.3002;28.746;;;;;0,222;54,31
1822.3004;28.722;;;;;0,223;51,452
1822.3006;29.836;;;;;0,224;49,996
1822.3008;28.655;;;;;0,225;35
1822.3010;29.524;;;;;0,226;29,975
1822.3012;28.67;;;;;0,227;30,03
1822.3014;28.697;;;;;0,228;30,005
1822.3016;29.832;;;;;0,229;29,938
1822.3018;28.675;;;;;0,23;29,989
1822.3020;29.509;;;;;0,231;29,909
1822.3022;28.701;;;;;0,232;29,968
1822.3024;28.725;;;;;0,233;29,84
1822.3026;29.9;;;;;0,234;29,894
1822.3028;28.696;;;;;0,235;29,997
1822.3030;29.548;;;;;0,236;29,947
1822.3032;28.703;;;;;0,237;29,891
1822.3034;28.685;;;;;0,238;29,935
1822.3036;29.807;;;;;0,239;29,9
1822.3038;28.758;;;;;0,24;29,897
1822.3040;29.503;;;;;0,241;29,972
1822.3042;28.81;;;;;0,242;29,957
1822.3044;28.684;;;;;0,243;29,928
1822.3046;29.75;;;;;0,244;29,91
1822.3048;28.655;;;;;0,245;29,931
1822.3050;29.587;;;;;0,246;29,92
1822.3052;28.739;;;;;0,247;29,958
1822.3054;28.704;;;;;0,248;29,899
1822.3056;29.793;;;;;0,249;29,899
1822.3058;28.728;;;;;0,25;29,966
1822.3060;29.495;;;;;0,251;29,882
1822.3062;28.54;;;;;0,252;29,997
1822.3064;28.76;;;;;0,253;29,93
1822.3066;29.712;;;;;0,254;29,906
1822.3068;28.704;;;;;0,255;29,868
1822.3070;29.61;;;;;0,256;29,93
1822.3072;28.684;;;;;0,257;29,92
1822.3074;28.754;;;;;0,258;29,9
1822.3076;29.738;;;;;0,259;30,008
1822.3078;28.744;;;;;0,26;29,927
1822.3080;29.508;;;;;0,261;29,948
1822.3082;28.683;;;;;0,262;29,983
1822.3084;28.745;;;;;0,263;29,548
1822.3086;29.633;;;;;0,264;33,559
1822.3088;28.695;;;;;0,265;30,732
1822.3090;29.547;;;;;0,266;29,92
1822.3092;28.749;;;;;0,267;29,907
1822.3094;29.637;;;;;0,268;29,956
1822.3096;28.725;;;;;0,269;29,892
1822.3098;29.533;;;;;0,27;29,926
1822.3100;28.662;;;;;0,271;29,915
1822.3102;28.763;;;;;0,272;29,956
1822.3104;29.68;;;;;0,273;29,87
1822.3106;28.765;;;;;0,274;29,912
1822.3108;29.504;;;;;0,275;29,957
1822.3110;28.769;;;;;0,276;29,921
1822.3112;28.754;;;;;0,277;29,858
1822.3114;29.694;;;;;0,278;29,927
1822.3116;28.599;;;;;0,279;29,876
1822.3118;29.491;;;;;0,28;29,864
1822.3120;28.694;;;;;0,281;29,806
1822.3122;28.828;;;;;0,282;29,824
1822.3124;29.571;;;;;0,283;29,805
1822.3126;28.689;;;;;0,284;29,837
1822.3128;29.497;;;;;0,285;29,802
1822.3130;28.736;;;;;0,286;29,801
1822.3132;28.799;;;;;0,287;29,682
1822.3134;29.637;;;;;0,288;29,702
1822.3136;28.727;;;;;0,289;29,718
1822.3138;29.513;;;;;0,29;29,701
1822.3140;28.674;;;;;0,291;29,646
1822.3142;28.844;;;;;0,292;29,679
1822.3144;29.605;;;;;0,293;29,521
1822.3146;28.637;;;;;0,294;29,571
1822.3148;29.532;;;;;0,295;29,582
1822.3150;28.655;;;;;0,296;29,581
1822.3152;28.845;;;;;0,297;29,542
1822.3154;29.524;;;;;0,298;29,582
1822.3156;28.695;;;;;0,299;29,479
1822.3158;29.528;;;;;0,3;29,582
1822.3160;28.757;;;;;0,301;29,511
1822.3162;28.86;;;;;0,302;29,491
1822.3164;29.489;;;;;0,303;29,605
1822.3166;28.725;;;;;0,304;29,583
1822.3168;29.528;;;;;0,305;29,587
1822.3170;28.698;;;;;0,306;29,547
