Time (s),USB Avg Current (mA)
1995.8574,28.632
1995.8576,28.743
1995.8578,29.47
1995.8580,28.686
1995.8582,29.748
1995.8584,28.721
1995.8586,28.666
1995.8588,29.464
1995.8590,28.63
1995.8592,29.709
1995.8594,28.627
1995.8596,28.596
1995.8598,29.507
1995.8600,28.597
1995.8602,29.769
1995.8604,28.74
1995.8606,28.681
1995.8608,29.508
1995.8610,28.662
1995.8612,29.744
1995.8614,28.715
1995.8616,28.734
1995.8618,29.449
1995.8620,28.719
1995.8622,29.811
1995.8624,28.773
1995.8626,28.673
1995.8628,29.479
1995.8630,28.683
1995.8632,29.784
1995.8634,28.725
1995.8636,28.612
1995.8638,29.475
1995.8640,28.592
1995.8642,29.806
1995.8644,28.66
1995.8646,28.669
1995.8648,29.463
1995.8650,28.647
1995.8652,29.774
1995.8654,28.65
1995.8656,28.681
1995.8658,29.486
1995.8660,28.699
1995.8662,29.834
1995.8664,28.553
1995.8666,28.693
1995.8668,29.529
1995.8670,28.587
1995.8672,29.781
1995.8674,28.7
1995.8676,28.672
1995.8678,29.465
1995.8680,28.65
1995.8682,29.772
1995.8684,28.629
1995.8686,28.63
1995.8688,29.534
1995.8690,28.621
1995.8692,29.732
1995.8694,28.664
1995.8696,28.72
1995.8698,29.559
1995.8700,28.749
1995.8702,29.797
1995.8704,28.691
1995.8706,28.662
1995.8708,29.49
1995.8710,28.617
1995.8712,29.805
1995.8714,28.665
1995.8716,28.683
1995.8718,29.522
1995.8720,28.713
1995.8722,29.798
1995.8724,28.612
1995.8726,28.644
1995.8728,29.42
1995.8730,28.713
1995.8732,29.807
1995.8734,28.725
1995.8736,28.565
1995.8738,29.637
1995.8740,28.671
1995.8742,29.837
1995.8744,28.726
1995.8746,28.59
1995.8748,29.448
1995.8750,28.668
1995.8752,29.826
1995.8754,28.66
1995.8756,28.588
1995.8758,29.523
1995.8760,28.655
1995.8762,29.766
1995.8764,28.668
1995.8766,28.661
1995.8768,29.517
1995.8770,28.642
1995.8772,29.796
1995.8774,28.683
1995.8776,28.655
1995.8778,29.445
1995.8780,28.675
1995.8782,29.828
1995.8784,28.671
1995.8786,28.674
1995.8788,29.488
1995.8790,28.732
1995.8792,29.76
1995.8794,28.698
1995.8796,28.726
1995.8798,29.464
1995.8800,28.715
1995.8802,29.844
1995.8804,28.686
1995.8806,28.582
1995.8808,29.43
1995.8810,28.689
1995.8812,29.763
1995.8814,28.585
1995.8816,28.648
1995.8818,29.486
1995.8820,28.675
1995.8822,29.78
1995.8824,28.581
1995.8826,28.597
1995.8828,29.482
1995.8830,28.607
1995.8832,29.805
1995.8834,28.639
1995.8836,28.651
1995.8838,29.577
1995.8840,28.627
1995.8842,29.745
1995.8844,28.692
1995.8846,28.594
1995.8848,29.435
1995.8850,28.578
1995.8852,29.82
1995.8854,28.657
1995.8856,28.632
1995.8858,29.446
1995.8860,28.682
1995.8862,29.832
1995.8864,28.608
1995.8866,28.593
1995.8868,29.46
1995.8870,28.609
1995.8872,29.831
1995.8874,28.745
1995.8876,28.668
1995.8878,29.479
1995.8880,28.653
1995.8882,29.812
1995.8884,28.653
1995.8886,28.607
1995.8888,29.484
1995.8890,28.615
1995.8892,29.802
1995.8894,28.656
1995.8896,28.677
1995.8898,29.426
1995.8900,28.66
1995.8902,29.784
1995.8904,28.561
1995.8906,28.608
1995.8908,29.484
1995.8910,28.636
1995.8912,29.82
1995.8914,28.578
1995.8916,28.632
1995.8918,29.468
1995.8920,28.57
1995.8922,29.822
1995.8924,28.655
1995.8926,28.704
1995.8928,29.505
1995.8930,28.564
1995.8932,29.974
1995.8934,28.658
1995.8936,28.551
1995.8938,29.486
1995.8940,28.614
1995.8942,29.81
1995.8944,28.682
1995.8946,28.695
1995.8948,29.501
1995.8950,28.683
1995.8952,29.854
1995.8954,28.679
1995.8956,28.722
1995.8958,29.469
1995.8960,28.713
1995.8962,29.823
1995.8964,28.672
1995.8966,28.574
1995.8968,29.346
1995.8970,28.649
1995.8972,29.769
1995.8974,28.661
1995.8976,28.689
1995.8978,29.385
1995.8980,28.617
1995.8982,29.868
1995.8984,28.642
1995.8986,28.632
1995.8988,29.502
1995.8990,28.655
1995.8992,29.862
1995.8994,28.674
1995.8996,28.598
1995.8998,29.388
1995.9000,28.647
1995.9002,29.836
1995.9004,28.56
1995.9006,28.773
1995.9008,29.448
1995.9010,28.655
1995.9012,29.809
1995.9014,28.693
1995.9016,28.617
1995.9018,29.481
1995.9020,28.615
1995.9022,29.866
1995.9024,28.662
1995.9026,28.701
1995.9028,29.415
1995.9030,28.734
1995.9032,29.894
1995.9034,28.652
1995.9036,28.647
1995.9038,29.458
1995.9040,28.635
1995.9042,29.802
1995.9044,28.683
1995.9046,28.665
1995.9048,29.424
1995.9050,28.652
1995.9052,29.803
1995.9054,28.652
1995.9056,28.642
1995.9058,29.404
1995.9060,28.634
1995.9062,29.78
1995.9064,28.647
1995.9066,28.749
1995.9068,29.361
1995.9070,28.751
1995.9072,29.813
1995.9074,28.677
1995.9076,28.707
1995.9078,29.385
1995.9080,28.713
1995.9082,29.649
1995.9084,28.694
1995.9086,28.731
1995.9088,29.403
1995.9090,28.68
1995.9092,29.838
1995.9094,28.698
1995.9096,28.623
1995.9098,29.373
1995.9100,28.687
1995.9102,29.857
1995.9104,28.686
1995.9106,28.651
1995.9108,29.406
1995.9110,28.691
1995.9112,29.786
1995.9114,28.757
1995.9116,28.722
1995.9118,29.311
1995.9120,28.627
1995.9122,29.85
1995.9124,28.59
1995.9126,28.733
1995.9128,29.268
1995.9130,28.676
1995.9132,29.804
1995.9134,28.614
