Time (s);USB Avg Current (mA);;;;;Tempo norm (s);Corrente pico (mA)
87.4346;1.315;;;;;0;54,447
87.4348;2.712;;;;;0,001;53,395
87.4350;2.443;;;;;0,002;52,748
87.4352;0.787;;;;;0,003;52,977
87.4354;2.712;;;;;0,004;52,694
87.4356;2.572;;;;;0,005;52,95
87.4358;0.613;;;;;0,006;54,002
87.4360;2.732;;;;;0,007;55,498
87.4362;2.652;;;;;0,008;51,131
87.4364;1.543;;;;;0,009;51,158
87.4366;1.536;;;;;0,01;56,617
87.4368;2.681;;;;;0,011;56,186
87.4370;2.285;;;;;0,012;56,321
87.4372;0.882;;;;;0,013;56,011
87.4374;2.752;;;;;0,014;56,145
87.4376;2.48;;;;;0,015;55,242
87.4378;0.716;;;;;0,016;51,36
87.4380;2.749;;;;;0,017;52,816
87.4382;2.611;;;;;0,018;52,667
87.4384;0.922;;;;;0,019;52,587
87.4386;2.102;;;;;0,02;52,87
87.4388;2.672;;;;;0,021;103,286
87.4390;2.062;;;;;0,022;113,019
87.4392;1.06;;;;;0,023;113,167
87.4394;2.689;;;;;0,024;113,208
87.4396;2.487;;;;;0,025;113,302
87.4398;0.696;;;;;0,026;113,316
87.4400;2.734;;;;;0,027;113,208
87.4402;2.607;;;;;0,028;113,343
87.4404;0.998;;;;;0,029;113,248
87.4406;1.978;;;;;0,03;113,383
87.4408;2.679;;;;;0,031;113,275
87.4410;2.101;;;;;0,032;113,275
87.4412;0.995;;;;;0,033;113,356
87.4414;2.727;;;;;0,034;113,37
87.4416;2.53;;;;;0,035;113,289
87.4418;0.725;;;;;0,036;113,397
87.4420;2.731;;;;;0,037;113,262
87.4422;2.609;;;;;0,038;113,41
87.4424;0.959;;;;;0,039;113,289
87.4426;2.013;;;;;0,04;113,356
87.4428;2.686;;;;;0,041;113,302
87.4430;2.126;;;;;0,042;113,356
87.4432;1.029;;;;;0,043;113,302
87.4434;2.698;;;;;0,044;113,477
87.4436;2.466;;;;;0,045;113,45
87.4438;0.719;;;;;0,046;113,477
87.4440;2.716;;;;;0,047;113,545
87.4442;2.598;;;;;0,048;113,437
87.4444;0.731;;;;;0,049;113,491
87.4446;2.302;;;;;0,05;113,397
87.4448;2.696;;;;;0,051;113,424
87.4450;1.963;;;;;0,052;113,45
87.4452;1.129;;;;;0,053;113,518
87.4454;2.707;;;;;0,054;113,397
87.4456;2.506;;;;;0,055;113,531
87.4458;0.715;;;;;0,056;113,464
87.4460;2.727;;;;;0,057;113,504
87.4462;2.607;;;;;0,058;113,518
87.4464;0.731;;;;;0,059;113,518
87.4466;2.29;;;;;0,06;113,464
87.4468;2.674;;;;;0,061;113,558
87.4470;1.942;;;;;0,062;112,089
87.4472;1.168;;;;;0,063;113,572
87.4474;2.69;;;;;0,064;113,518
87.4476;2.445;;;;;0,065;113,518
87.4478;0.72;;;;;0,066;113,558
87.4480;2.715;;;;;0,067;113,545
87.4482;2.616;;;;;0,068;113,491
87.4484;0.697;;;;;0,069;113,585
87.4486;2.316;;;;;0,07;113,464
87.4488;2.709;;;;;0,071;113,666
87.4490;1.924;;;;;0,072;113,572
87.4492;1.117;;;;;0,073;113,693
87.4494;2.673;;;;;0,074;113,545
87.4496;2.444;;;;;0,075;113,72
87.4498;0.737;;;;;0,076;113,626
87.4500;2.716;;;;;0,077;113,72
87.4502;2.59;;;;;0,078;113,653
87.4504;0.69;;;;;0,079;113,761
87.4506;2.373;;;;;0,08;113,868
87.4508;2.677;;;;;0,081;114,125
87.4510;1.857;;;;;0,082;113,639
87.4512;1.198;;;;;0,083;113,626
87.4514;2.693;;;;;0,084;113,545
87.4516;2.468;;;;;0,085;113,639
87.4518;0.726;;;;;0,086;113,491
87.4520;2.732;;;;;0,087;113,68
87.4522;1.766;;;;;0,088;113,518
87.4524;2.814;;;;;0,089;113,626
87.4526;0.745;;;;;0,09;113,585
87.4528;2.232;;;;;0,091;113,585
87.4530;2.649;;;;;0,092;113,531
87.4532;1.979;;;;;0,093;113,545
87.4534;1.101;;;;;0,094;113,491
87.4536;2.725;;;;;0,095;113,572
87.4538;2.447;;;;;0,096;113,437
87.4540;0.728;;;;;0,097;113,437
87.4542;2.71;;;;;0,098;113,45
87.4544;2.617;;;;;0,099;113,477
87.4546;0.861;;;;;0,1;113,41
87.4548;2.123;;;;;0,101;113,477
87.4550;2.651;;;;;0,102;113,356
87.4552;2.085;;;;;0,103;113,437
87.4554;1.043;;;;;0,104;113,262
87.4556;2.68;;;;;0,105;113,356
87.4558;2.512;;;;;0,106;113,248
87.4560;0.697;;;;;0,107;113,235
87.4562;2.735;;;;;0,108;113,127
87.4564;2.654;;;;;0,109;113,235
87.4566;0.926;;;;;0,11;113,167
87.4568;2.038;;;;;0,111;113,208
87.4570;2.652;;;;;0,112;113,073
87.4572;2.038;;;;;0,113;113,127
87.4574;1.09;;;;;0,114;113,06
87.4576;2.708;;;;;0,115;113,019
87.4578;2.512;;;;;0,116;112,965
87.4580;0.691;;;;;0,117;112,911
87.4582;2.71;;;;;0,118;112,911
87.4584;2.638;;;;;0,119;112,952
87.4586;0.987;;;;;0,12;112,776
87.4588;1.96;;;;;0,121;112,884
87.4590;2.658;;;;;0,122;112,844
87.4592;2.25;;;;;0,123;112,736
87.4594;0.927;;;;;0,124;112,79
87.4596;2.695;;;;;0,125;112,736
87.4598;2.523;;;;;0,126;112,723
87.4600;0.656;;;;;0,127;112,723
87.4602;2.731;;;;;0,128;112,79
87.4604;2.675;;;;;0,129;112,763
87.4606;1.635;;;;;0,13;112,803
87.4608;1.414;;;;;0,131;112,925
87.4610;2.682;;;;;0,132;112,871
87.4612;2.341;;;;;0,133;112,83
87.4614;0.839;;;;;0,134;112,911
87.4616;2.719;;;;;0,135;112,952
87.4618;2.611;;;;;0,136;112,898
87.4620;0.627;;;;;0,137;112,952
87.4622;2.656;;;;;0,138;112,911
87.4624;2.68;;;;;0,139;112,979
87.4626;1.619;;;;;0,14;112,965
87.4628;1.438;;;;;0,141;113,006
87.4630;2.668;;;;;0,142;113,073
87.4632;2.362;;;;;0,143;113,087
87.4634;0.808;;;;;0,144;113,06
87.4636;2.745;;;;;0,145;113,113
87.4638;2.588;;;;;0,146;113,113
87.4640;0.608;;;;;0,147;113,06
87.4642;2.652;;;;;0,148;113,693
87.4644;2.707;;;;;0,149;52,546
87.4646;1.684;;;;;0,15;52,33
87.4648;1.386;;;;;0,151;52,546
87.4650;2.709;;;;;0,152;52,33
87.4652;2.441;;;;;0,153;52,533
87.4654;0.756;;;;;0,154;55,188
87.4656;2.728;;;;;0,155;54,015
87.4658;2.59;;;;;0,156;50,794
87.4660;0.601;;;;;0,157;50,214
87.4662;2.623;;;;;0,158;29,516
87.4664;2.678;;;;;0,159;29,463
87.4666;1.905;;;;;0,16;29,481
87.4668;1.208;;;;;0,161;29,433
87.4670;2.704;;;;;0,162;29,478
87.4672;2.406;;;;;0,163;29,533
87.4674;0.761;;;;;0,164;29,475
87.4676;2.739;;;;;0,165;29,437
87.4678;2.614;;;;;0,166;29,487
87.4680;0.665;;;;;0,167;29,46
87.4682;2.407;;;;;0,168;29,529
