timestamp,node_id,fcnt,sf,toa_teorico_ms,rssi,snr,delta_t_ms,observation
2026-05-28T14:07:32.132575546+00:00,1,0,10,616.448,-19,9.25,,primeiro
2026-05-28T14:07:51.971587627+00:00,4,0,10,616.448,-24,12.5,19839.0,normal
2026-05-28T14:08:02.497437929+00:00,1,1,10,616.448,-14,13.25,10525.9,normal
2026-05-28T14:08:28.351274054+00:00,4,1,10,616.448,-26,13.25,25853.8,normal
2026-05-28T14:08:32.830082790+00:00,1,2,10,616.448,-15,13.5,4478.8,normal
2026-05-28T14:09:03.165426235+00:00,1,3,10,616.448,-12,9.0,30335.3,normal
2026-05-28T14:09:33.492498537+00:00,1,4,10,616.448,-13,10.0,30327.1,normal
2026-05-28T14:09:42.150798164+00:00,4,3,10,616.448,-28,12.75,8658.3,normal
2026-05-28T14:10:03.823951183+00:00,1,5,10,616.448,-14,12.5,21673.2,normal
2026-05-28T14:10:18.475367842+00:00,4,4,10,616.448,-27,12.75,14651.4,normal
2026-05-28T14:10:34.155951406+00:00,1,6,10,616.448,-15,13.25,15680.6,normal
2026-05-28T14:10:54.811286132+00:00,4,5,10,616.448,-26,12.75,20655.3,normal
2026-05-28T14:11:04.491527179+00:00,1,7,10,616.448,-15,13.0,9680.2,normal
2026-05-28T14:11:31.176553356+00:00,4,6,10,616.448,-25,9.75,26685.0,normal
2026-05-28T14:11:34.841384421+00:00,1,8,10,616.448,-17,12.25,3664.8,normal
2026-05-28T14:12:05.169054132+00:00,1,9,10,616.448,-11,8.75,30327.7,normal
2026-05-28T14:12:07.494328668+00:00,4,7,10,616.448,-26,13.0,2325.3,potencial_colisao
2026-05-28T14:12:35.508141769+00:00,1,10,10,616.448,-15,13.0,28013.8,normal
2026-05-28T14:12:43.828802451+00:00,4,8,10,616.448,-29,9.75,8320.7,normal
2026-05-28T14:13:05.844293092+00:00,1,11,10,616.448,-11,13.25,22015.5,normal
2026-05-28T14:13:20.152729128+00:00,4,9,10,616.448,-24,10.0,14308.4,normal
2026-05-28T14:13:36.279684475+00:00,1,12,10,616.448,-17,10.75,16127.0,normal
2026-05-28T14:13:56.472574491+00:00,4,10,10,616.448,-29,12.5,20192.9,normal
2026-05-28T14:14:06.486061304+00:00,1,13,10,616.448,-14,12.25,10013.5,normal
2026-05-28T14:14:32.810665259+00:00,4,11,10,616.448,-23,7.75,26324.6,normal
2026-05-28T14:14:36.813683870+00:00,1,14,10,616.448,-12,10.25,4003.0,normal
2026-05-28T14:15:07.145451672+00:00,1,15,10,616.448,-15,12.75,30331.8,normal
2026-05-28T14:15:37.489080329+00:00,1,16,10,616.448,-13,9.5,30343.6,normal
2026-05-28T14:15:46.609637165+00:00,4,13,10,616.448,-23,10.25,9120.6,normal
2026-05-28T14:16:07.821029933+00:00,1,17,10,616.448,-10,10.75,21211.4,normal
2026-05-28T14:16:22.937256035+00:00,4,14,10,616.448,-25,9.75,15116.2,normal
2026-05-28T14:16:38.150173582+00:00,1,18,10,616.448,-13,8.25,15212.9,normal
2026-05-28T14:16:59.277925288+00:00,4,15,10,616.448,-24,6.75,21127.8,normal
2026-05-28T14:17:08.473873736+00:00,1,19,10,616.448,-11,10.25,9195.9,normal
2026-05-28T14:17:35.608210885+00:00,4,16,10,616.448,-27,7.75,27134.3,normal
2026-05-28T14:17:38.818348981+00:00,1,20,10,616.448,-15,10.0,3210.1,normal
2026-05-28T14:18:09.142012543+00:00,1,21,10,616.448,-12,8.75,30323.7,normal
2026-05-28T14:18:11.941147907+00:00,4,17,10,616.448,-26,12.25,2799.1,potencial_colisao
2026-05-28T14:18:39.472047993+00:00,1,22,10,616.448,-15,10.0,27530.9,normal
2026-05-28T14:18:48.268679885+00:00,4,18,10,616.448,-27,10.75,8796.6,normal
2026-05-28T14:19:09.805881408+00:00,1,23,10,616.448,-12,13.5,21537.2,normal
2026-05-28T14:19:24.599595939+00:00,4,19,10,616.448,-28,12.5,14793.7,normal
2026-05-28T14:19:40.140221278+00:00,1,24,10,616.448,-11,12.25,15540.6,normal
2026-05-28T14:20:00.935414298+00:00,4,20,10,616.448,-30,12.0,20795.2,normal
2026-05-28T14:20:10.478150311+00:00,1,25,10,616.448,-11,9.75,9542.7,normal
2026-05-28T14:20:37.266799545+00:00,4,21,10,616.448,-27,13.0,26788.6,normal
2026-05-28T14:21:12.278616252+00:00,1,27,10,616.448,-11,10.75,35011.8,normal
2026-05-28T14:21:42.605480465+00:00,1,28,10,616.448,-13,9.75,30326.9,normal
2026-05-28T14:21:51.075288234+00:00,4,23,10,616.448,-24,7.75,8469.8,normal
2026-05-28T14:22:12.942693754+00:00,1,29,10,616.448,-12,9.0,21867.4,normal
2026-05-28T14:22:27.410595410+00:00,4,24,10,616.448,-27,10.0,14467.9,normal
2026-05-28T14:22:43.273871664+00:00,1,30,10,616.448,-15,12.25,15863.3,normal
2026-05-28T14:23:03.729391029+00:00,4,25,10,616.448,-22,10.75,20455.5,normal
2026-05-28T14:23:13.602929383+00:00,1,31,10,616.448,-11,10.25,9873.5,normal
2026-05-28T14:23:40.067827988+00:00,4,26,10,616.448,-24,9.5,26464.9,normal
2026-05-28T14:23:43.935507433+00:00,1,32,10,616.448,-14,12.25,3867.7,normal
2026-05-28T14:24:14.299885472+00:00,1,33,10,616.448,-12,12.75,30364.4,normal
2026-05-28T14:24:44.620007111+00:00,1,34,10,616.448,-17,12.5,30320.1,normal
2026-05-28T14:24:53.888142008+00:00,4,28,10,616.448,-27,7.0,9268.1,normal
2026-05-28T14:25:14.952490070+00:00,1,35,10,616.448,-12,11.5,21064.3,normal
2026-05-28T14:25:30.220861847+00:00,4,29,10,616.448,-21,10.5,15268.4,normal
2026-05-28T14:25:45.287001935+00:00,1,36,10,616.448,-13,9.5,15066.1,normal
2026-05-28T14:26:06.552891731+00:00,4,30,10,616.448,-29,9.75,21265.9,normal
2026-05-28T14:26:15.683283449+00:00,1,37,10,616.448,-12,12.75,9130.4,normal
2026-05-28T14:26:42.871904823+00:00,4,31,10,616.448,-24,8.0,27188.6,normal
2026-05-28T14:26:45.935027462+00:00,1,38,10,616.448,-15,12.75,3063.1,normal
2026-05-28T14:27:16.273234693+00:00,1,39,10,616.448,-14,12.75,30338.2,normal
2026-05-28T14:27:19.197601054+00:00,4,32,10,616.448,-25,10.0,2924.4,potencial_colisao
2026-05-28T14:27:46.599327735+00:00,1,40,10,616.448,-13,11.0,27401.7,normal
2026-05-28T14:27:55.525317713+00:00,4,33,10,616.448,-24,10.25,8926.0,normal
2026-05-28T14:28:16.926286794+00:00,1,41,10,616.448,-11,8.75,21401.0,normal
2026-05-28T14:28:31.867314022+00:00,4,34,10,616.448,-27,13.25,14941.0,normal
2026-05-28T14:28:47.269648870+00:00,1,42,10,616.448,-12,8.75,15402.3,normal
2026-05-28T14:29:08.195292339+00:00,4,35,10,616.448,-23,10.5,20925.6,normal
2026-05-28T14:29:17.592794898+00:00,1,43,10,616.448,-12,9.25,9397.5,normal
2026-05-28T14:29:44.519328522+00:00,4,36,10,616.448,-27,8.25,26926.5,normal
2026-05-28T14:29:47.928197775+00:00,1,44,10,616.448,-13,9.75,3408.9,normal
2026-05-28T14:30:18.262365075+00:00,1,45,10,616.448,-14,12.75,30334.2,normal
2026-05-28T14:30:20.884217838+00:00,4,37,10,616.448,-23,8.75,2621.9,potencial_colisao
2026-05-28T14:30:48.584071427+00:00,1,46,10,616.448,-15,10.75,27699.9,normal
2026-05-28T14:30:57.191911337+00:00,4,38,10,616.448,-27,7.5,8607.8,normal
2026-05-28T14:31:18.917115976+00:00,1,47,10,616.448,-10,10.25,21725.2,normal
2026-05-28T14:31:33.523423504+00:00,4,39,10,616.448,-27,12.5,14606.3,normal
2026-05-28T14:31:49.261317086+00:00,1,48,10,616.448,-17,13.0,15737.9,normal
2026-05-28T14:32:09.847636168+00:00,4,40,10,616.448,-24,10.0,20586.3,normal
2026-05-28T14:32:19.590725923+00:00,1,49,10,616.448,-15,13.25,9743.1,normal
2026-05-28T14:32:46.192748444+00:00,4,41,10,616.448,-24,10.0,26602.0,normal
2026-05-28T14:32:49.919649190+00:00,1,50,10,616.448,-15,12.25,3726.9,normal
2026-05-28T14:33:20.247681444+00:00,1,51,10,616.448,-12,9.75,30328.0,normal
2026-05-28T14:33:22.507871164+00:00,4,42,10,616.448,-25,8.75,2260.2,potencial_colisao
2026-05-28T14:33:50.582545522+00:00,1,52,10,616.448,-15,10.0,28074.7,normal
2026-05-28T14:33:58.851380069+00:00,4,43,10,616.448,-26,12.5,8268.8,normal
2026-05-28T14:34:20.911832238+00:00,1,53,10,616.448,-12,12.5,22060.5,normal
2026-05-28T14:34:35.170659551+00:00,4,44,10,616.448,-24,8.0,14258.8,normal
2026-05-28T14:34:51.246120141+00:00,1,54,10,616.448,-15,9.75,16075.5,normal
2026-05-28T14:35:11.516373285+00:00,4,45,10,616.448,-24,8.5,20270.3,normal
2026-05-28T14:35:21.582991202+00:00,1,55,10,616.448,-12,10.0,10066.6,normal
2026-05-28T14:35:47.836567922+00:00,4,46,10,616.448,-29,12.5,26253.6,normal
2026-05-28T14:35:51.914249726+00:00,1,56,10,616.448,-11,13.5,4077.7,normal
2026-05-28T14:36:22.263938210+00:00,1,57,10,616.448,-12,9.0,30349.7,normal
2026-05-28T14:36:52.604690518+00:00,1,58,10,616.448,-17,10.25,30340.8,normal
2026-05-28T14:37:01.656979846+00:00,4,48,10,616.448,-29,12.75,9052.3,normal
2026-05-28T14:37:22.926369186+00:00,1,59,10,616.448,-11,8.75,21269.4,normal
