parameter;value
session_start;28/05/2026 19:20
session_end;29/05/2026 06:47
duration_min;687.0
;
n_nodes;4
nodes;No 1, No 2, No 3, No 4
n_rejoins;5
;
toa_teorico_avg_ms;97.54
G_calc_method;tx_attempt_count (directo)
traffic_load_G_real;0.0121
P_collision_theory_%;2.39
utilizacao_canal_total_%;1.17
;
S_observado;0.0113
S_pure_aloha_teoria;0.0118
;
total_tx;5105
total_rx;4939
total_lost;166
pdr_uplink_%;96.75
;
collision_rate_fcnt_%;3.25
collisions_fcnt_gap;166
collision_rate_temporal_%;0.97
collisions_temporal;48
pdr_plus_collision_%;100.0
;
rssi_mean_dBm;-17.54
snr_mean_dB;9.3
link_margin_mean_dB;102.46
