timestamp,node_atual,fcnt_atual,node_anterior,fcnt_anterior,overlap_s,sf_atual,sf_anterior
2026-05-28T19:02:33.043870665+00:00,1,81,4,68,0.028,7,7
2026-05-28T20:17:26.678283798+00:00,4,195,2,221,0.025,7,7
2026-05-28T20:42:00.943826770+00:00,3,253,2,268,0.047,7,7
2026-05-28T20:46:27.572920238+00:00,3,261,1,293,0.026,7,7
2026-05-28T20:58:44.047185401+00:00,3,283,1,318,0.03,7,7
2026-05-28T21:11:00.528432578+00:00,3,305,1,343,0.02,7,7
2026-05-28T21:13:27.183862478+00:00,2,328,1,348,0.029,7,7
2026-05-28T21:18:10.813680441+00:00,4,298,2,337,0.045,7,7
2026-05-28T21:23:15.475420893+00:00,3,327,1,368,0.021,7,7
2026-05-28T21:36:29.030927347+00:00,2,372,1,395,0.044,7,7
2026-05-28T21:45:54.650857541+00:00,4,345,2,390,0.015,7,7
2026-05-28T22:00:01.731690097+00:00,3,393,1,443,0.067,7,7
2026-05-28T22:12:16.718154767+00:00,1,468,3,415,0.022,7,7
2026-05-28T22:34:19.842117328+00:00,4,427,1,513,0.021,7,7
2026-05-28T22:45:34.526033663+00:00,2,504,1,536,0.028,7,7
2026-05-28T23:27:24.682001094+00:00,4,517,3,550,0.002,7,7
2026-05-28T23:37:59.517267515+00:00,3,569,1,643,0.026,7,7
2026-05-28T23:42:11.061724899+00:00,4,542,2,612,0.07,7,7
2026-05-28T23:50:14.435870298+00:00,3,591,1,668,0.027,7,7
2026-05-28T23:55:16.026670503+00:00,3,600,2,637,0.016,7,7
2026-05-29T00:08:50.684501881+00:00,2,663,1,706,0.041,7,7
2026-05-29T00:09:54.953660688+00:00,4,589,2,665,0.013,7,7
2026-05-29T00:14:44.225546499+00:00,3,635,1,718,0.067,7,7
2026-05-29T00:18:11.170332822+00:00,4,603,1,725,0.043,7,7
2026-05-29T00:39:15.640031363+00:00,3,679,1,768,0.038,7,7
2026-05-29T00:44:08.999258150+00:00,4,647,1,778,0.017,7,7
2026-05-29T00:54:55.867815396+00:00,2,751,1,800,0.06,7,7
2026-05-29T01:03:45.432831211+00:00,3,723,1,818,0.065,7,7
2026-05-29T01:05:24.154081606+00:00,4,683,2,771,0.03,7,7
2026-05-29T01:10:08.337855185+00:00,4,691,1,831,0.067,7,7
2026-05-29T01:25:28.596175559+00:00,3,762,4,717,0.065,7,7
2026-05-29T01:36:06.215787228+00:00,1,884,4,735,0.031,7,7
2026-05-29T01:49:52.243168086+00:00,1,912,2,856,0.022,7,7
2026-05-29T01:54:56.882339425+00:00,3,815,4,767,0.071,7,7
2026-05-29T02:06:05.153287355+00:00,3,835,2,887,0.044,7,7
2026-05-29T02:32:13.382234524+00:00,3,882,2,937,0.065,7,7
2026-05-29T03:15:38.197482113+00:00,1,1087,3,960,0.02,7,7
2026-05-29T03:23:24.846075665+00:00,3,974,4,917,0.024,7,7
2026-05-29T03:29:53.515767964+00:00,1,1116,4,928,0.019,7,7
2026-05-29T03:30:53.765457038+00:00,1,1118,2,1049,0.05,7,7
2026-05-29T03:44:33.135650356+00:00,2,1075,3,1012,0.017,7,7
2026-05-29T03:45:06.033887238+00:00,1,1147,2,1076,0.017,7,7
2026-05-29T03:52:53.118399869+00:00,3,1027,4,967,0.024,7,7
2026-05-29T04:01:48.040725651+00:00,1,1181,3,1043,0.066,7,7
2026-05-29T04:22:24.467550779+00:00,3,1080,4,1017,0.058,7,7
2026-05-29T04:26:19.663671575+00:00,1,1231,3,1087,0.002,7,7
2026-05-29T04:38:34.334521222+00:00,1,1256,3,1109,0.028,7,7
2026-05-29T05:03:08.927246988+00:00,1,1306,4,1086,0.009,7,7
