parameter,value
session_start,2026-06-02 15:49:46
session_end,2026-06-02 19:15:05
duration_min,205.3

n_nodes,4
"nodes,""No 1, No 2, No 3, No 4"""
n_rejoins,4

toa_teorico_avg_ms,97.54
G_calc_method,tx_attempt_count (directo)
traffic_load_G_real,0.0241
P_collision_theory_%,4.7
utilizacao_canal_total_%,2.28

S_observado,0.0216
S_pure_aloha_teoria,0.0229

total_tx,3040
total_rx,2875
total_lost,164
pdr_uplink_%,94.57

collision_rate_fcnt_%,5.39
collisions_fcnt_gap,164
collision_rate_temporal_%,0.1
collisions_temporal,3
pdr_canal_%,99.9
pdr_plus_collision_%,99.97

rssi_mean_dBm,-54.25
snr_mean_dB,12.97
link_margin_mean_dB,65.75
