timestamp,node_id,session_id,f_cnt,collisions_detected
2026-06-03T08:35:13.999881815+00:00,4,1,4,2
2026-06-03T08:40:51.713337206+00:00,1,1,24,3
2026-06-03T08:45:13.807225195+00:00,2,1,40,1
2026-06-03T08:46:02.874938063+00:00,2,1,43,1
2026-06-03T08:47:52.931178+00:00,4,1,49,1
2026-06-03T08:49:36.041886715+00:00,3,1,56,1
2026-06-03T08:50:26.610340854+00:00,3,1,59,1
2026-06-03T08:51:17.184974907+00:00,3,1,62,1
2026-06-03T08:52:57.668835151+00:00,2,1,69,1
2026-06-03T08:53:13.989912313+00:00,1,1,72,2
2026-06-03T08:54:51.630057797+00:00,2,1,76,1
2026-06-03T08:55:40.715389852+00:00,2,1,79,1
2026-06-03T08:56:31.303598748+00:00,2,1,82,1
2026-06-03T08:56:53.260183049+00:00,4,1,81,1
2026-06-03T08:58:08.473865578+00:00,1,1,91,1
2026-06-03T08:58:56.022210118+00:00,1,1,94,1
2026-06-03T09:01:33.842698830+00:00,2,1,101,1
2026-06-03T09:02:15.203647694+00:00,3,1,102,1
2026-06-03T09:03:05.761854607+00:00,3,1,105,1
2026-06-03T09:04:29.456176836+00:00,2,1,112,1
2026-06-03T09:05:18.513736029+00:00,2,1,115,1
2026-06-03T09:05:36.275273538+00:00,1,1,120,1
2026-06-03T09:06:07.580803106+00:00,2,1,118,1
2026-06-03T09:06:27.118220750+00:00,4,1,115,1
2026-06-03T09:10:18.541880525+00:00,1,1,138,1
2026-06-03T09:12:22.740682891+00:00,1,1,146,1
2026-06-03T09:12:54.234018264+00:00,4,1,138,1
2026-06-03T09:13:25.660554174+00:00,1,1,150,1
2026-06-03T09:16:28.236142136+00:00,2,1,157,1
2026-06-03T09:16:34.348221208+00:00,1,1,162,3
2026-06-03T09:17:17.293896430+00:00,2,1,160,1
2026-06-03T09:17:25.146051849+00:00,4,1,154,1
2026-06-03T09:18:06.349675382+00:00,2,1,163,1
2026-06-03T09:18:38.549389389+00:00,1,1,170,1
2026-06-03T09:20:00.173726308+00:00,3,1,167,1
2026-06-03T09:23:05.106919981+00:00,4,1,174,1
2026-06-03T09:23:17.680558617+00:00,1,1,188,1
2026-06-03T09:27:41.056305800+00:00,2,1,199,1
2026-06-03T09:28:25.927203797+00:00,1,1,208,1
2026-06-03T09:28:30.113482466+00:00,2,1,202,1
2026-06-03T09:29:19.179754133+00:00,2,1,205,1
2026-06-03T09:29:51.120667562+00:00,3,1,203,1
2026-06-03T09:30:41.692138108+00:00,3,1,206,1
2026-06-03T09:30:57.852640683+00:00,4,1,202,1
2026-06-03T09:33:18.838623944+00:00,1,1,227,1
2026-06-03T09:34:06.394879482+00:00,1,1,230,1
2026-06-03T09:34:56.643358741+00:00,4,1,216,1
2026-06-03T09:36:05.619687107+00:00,4,1,220,1
2026-06-03T09:42:18.641619185+00:00,1,1,262,1
2026-06-03T09:43:52.208735895+00:00,1,1,268,1
2026-06-03T09:44:41.323988534+00:00,1,1,271,1
