timestamp,node_id,fcnt,sf,toa_teorico_ms,rssi,snr,frequency_mhz,delta_t_ms,observation,potential_collision
2026-06-10T02:31:43.074646712+00:00,4,0,7,97.536,-51,13.5,867.3,,primeiro,False
2026-06-10T02:31:55.857884765+00:00,3,0,7,97.536,-60,10.5,867.9,12783.2,normal,False
2026-06-10T02:31:58.715749136+00:00,4,1,7,97.536,-51,14.0,867.1,2857.9,normal,False
2026-06-10T02:32:10.871938307+00:00,3,1,7,97.536,-59,13.8,867.7,12156.2,normal,False
2026-06-10T02:32:14.284997735+00:00,4,2,7,97.536,-54,14.0,867.3,3413.1,normal,False
2026-06-10T02:32:25.892915767+00:00,3,2,7,97.536,-58,14.0,867.1,11607.9,normal,False
2026-06-10T02:32:26.422344841+00:00,2,1,7,97.536,-57,14.0,868.3,529.4,normal,False
2026-06-10T02:32:29.605665989+00:00,4,3,7,97.536,-49,13.8,868.3,3183.3,normal,False
2026-06-10T02:32:33.332201465+00:00,1,0,7,97.536,-54,14.0,868.1,3726.5,normal,False
2026-06-10T02:32:45.107015776+00:00,4,4,7,97.536,-58,14.5,867.7,11774.8,normal,False
2026-06-10T02:32:47.131409039+00:00,1,1,7,97.536,-53,11.2,868.5,2024.4,normal,False
2026-06-10T02:32:55.400733048+00:00,2,3,7,97.536,-59,12.0,867.5,8269.3,normal,False
2026-06-10T02:32:55.847725128+00:00,3,4,7,97.536,-59,14.0,867.7,447.0,normal,False
2026-06-10T02:33:00.586789903+00:00,4,5,7,97.536,-58,13.2,868.3,4739.1,normal,False
2026-06-10T02:33:01.138468410+00:00,1,2,7,97.536,-52,13.8,867.3,551.7,normal,False
2026-06-10T02:33:09.928287263+00:00,2,4,7,97.536,-60,13.2,867.9,8789.8,normal,False
2026-06-10T02:33:10.868352091+00:00,3,5,7,97.536,-61,13.5,867.3,940.1,normal,False
2026-06-10T02:33:15.309844398+00:00,1,3,7,97.536,-56,13.8,867.9,4441.5,normal,False
2026-06-10T02:33:16.100515342+00:00,4,6,7,97.536,-56,11.8,867.5,790.7,normal,False
2026-06-10T02:33:24.529297959+00:00,2,5,7,97.536,-64,14.2,867.1,8428.8,normal,False
2026-06-10T02:33:25.857542339+00:00,3,6,7,97.536,-63,14.0,867.1,1328.2,normal,False
2026-06-10T02:33:29.227042423+00:00,1,4,7,97.536,-54,10.5,868.5,3369.5,normal,False
2026-06-10T02:33:31.600692131+00:00,4,7,7,97.536,-58,14.2,868.1,2373.7,normal,False
2026-06-10T02:33:39.060121760+00:00,2,6,7,97.536,-59,10.0,868.5,7459.4,normal,False
2026-06-10T02:33:40.856066089+00:00,3,7,7,97.536,-54,9.5,867.5,1795.9,normal,False
2026-06-10T02:33:43.131402289+00:00,1,5,7,97.536,-53,13.2,867.7,2275.3,normal,False
2026-06-10T02:33:47.093329147+00:00,4,8,7,97.536,-58,13.5,868.3,3961.9,normal,False
2026-06-10T02:33:53.608682751+00:00,2,7,7,97.536,-60,12.0,868.5,6515.4,normal,False
2026-06-10T02:33:55.866935703+00:00,3,8,7,97.536,-57,13.8,867.3,2258.3,normal,False
2026-06-10T02:33:57.127402314+00:00,1,6,7,97.536,-52,14.0,867.1,1260.5,normal,False
2026-06-10T02:34:02.614830206+00:00,4,9,7,97.536,-56,14.2,867.1,5487.4,normal,False
2026-06-10T02:34:07.929549123+00:00,2,8,7,97.536,-57,13.8,867.1,5314.7,normal,False
2026-06-10T02:34:11.016837242+00:00,3,9,7,97.536,-58,10.5,868.5,3087.3,normal,False
2026-06-10T02:34:11.136356108+00:00,1,7,7,97.536,-54,13.8,868.1,119.5,normal,False
2026-06-10T02:34:18.101603130+00:00,4,10,7,97.536,-56,13.8,868.3,6965.2,normal,False
2026-06-10T02:34:22.420024535+00:00,2,9,7,97.536,-59,10.2,867.5,4318.4,normal,False
2026-06-10T02:34:25.133355061+00:00,1,8,7,97.536,-54,13.8,868.1,2713.3,normal,False
2026-06-10T02:34:25.858822999+00:00,3,10,7,97.536,-56,11.0,867.5,725.5,normal,False
2026-06-10T02:34:33.595213995+00:00,4,11,7,97.536,-57,14.5,867.3,7736.4,normal,False
2026-06-10T02:34:37.015300421+00:00,2,10,7,97.536,-58,13.8,868.1,3420.1,normal,False
2026-06-10T02:34:39.137066812+00:00,1,9,7,97.536,-52,13.8,867.3,2121.8,normal,False
2026-06-10T02:34:40.860546402+00:00,3,11,7,97.536,-59,14.0,868.1,1723.5,normal,False
2026-06-10T02:34:49.105989655+00:00,4,12,7,97.536,-57,11.5,867.5,8245.4,normal,False
2026-06-10T02:34:51.421973219+00:00,2,11,7,97.536,-63,13.8,867.9,2316.0,normal,False
2026-06-10T02:34:53.148739510+00:00,1,10,7,97.536,-55,14.0,868.1,1726.8,normal,False
2026-06-10T02:34:56.074170104+00:00,3,12,7,97.536,-58,13.5,867.3,2925.4,normal,False
2026-06-10T02:35:04.675255097+00:00,4,13,7,97.536,-56,14.2,868.3,8601.1,normal,False
2026-06-10T02:35:05.926939914+00:00,2,12,7,97.536,-59,14.2,868.1,1251.7,normal,False
2026-06-10T02:35:07.140837876+00:00,1,11,7,97.536,-54,14.0,868.1,1213.9,normal,False
2026-06-10T02:35:10.854326565+00:00,3,13,7,97.536,-57,14.2,868.1,3713.5,normal,False
2026-06-10T02:35:20.233011364+00:00,4,14,7,97.536,-56,11.5,867.5,9378.7,normal,False
2026-06-10T02:35:20.421346762+00:00,2,13,7,97.536,-58,13.8,867.1,188.3,normal,False
2026-06-10T02:35:25.964081271+00:00,3,14,7,97.536,-60,13.8,868.1,5542.7,normal,False
2026-06-10T02:35:34.924219327+00:00,2,14,7,97.536,-63,13.5,867.9,8960.1,normal,False
2026-06-10T02:35:35.134403178+00:00,1,13,7,97.536,-55,14.0,868.3,210.2,normal,False
2026-06-10T02:35:35.594972422+00:00,4,15,7,97.536,-62,13.8,867.9,460.6,normal,False
2026-06-10T02:35:40.931197089+00:00,3,15,7,97.536,-56,14.0,868.3,5336.2,normal,False
2026-06-10T02:35:49.137195871+00:00,1,14,7,97.536,-53,13.5,867.3,8206.0,normal,False
2026-06-10T02:35:49.420283620+00:00,2,15,7,97.536,-58,14.5,868.3,283.1,normal,False
2026-06-10T02:35:51.114575211+00:00,4,16,7,97.536,-57,14.0,868.1,1694.3,normal,False
2026-06-10T02:35:55.861790778+00:00,3,16,7,97.536,-57,14.2,868.1,4747.2,normal,False
2026-06-10T02:36:03.144475385+00:00,1,15,7,97.536,-54,14.2,867.7,7282.7,normal,False
2026-06-10T02:36:03.934158253+00:00,2,16,7,97.536,-59,13.2,867.7,789.7,normal,False
2026-06-10T02:36:06.730363837+00:00,4,17,7,97.536,-58,10.0,867.5,2796.2,normal,False
2026-06-10T02:36:10.864343622+00:00,3,17,7,97.536,-55,14.2,867.3,4134.0,normal,False
2026-06-10T02:36:17.137441707+00:00,1,16,7,97.536,-55,14.0,867.9,6273.1,normal,False
2026-06-10T02:36:18.410660578+00:00,2,17,7,97.536,-59,14.0,868.3,1273.2,normal,False
2026-06-10T02:36:22.103220484+00:00,4,18,7,97.536,-59,13.5,867.9,3692.6,normal,False
2026-06-10T02:36:25.865547152+00:00,3,18,7,97.536,-63,14.0,867.3,3762.3,normal,False
2026-06-10T02:36:31.143745594+00:00,1,17,7,97.536,-54,14.2,868.1,5278.2,normal,False
2026-06-10T02:36:32.923661626+00:00,2,18,7,97.536,-58,13.8,868.1,1779.9,normal,False
2026-06-10T02:36:37.653120789+00:00,4,19,7,97.536,-58,14.5,867.9,4729.5,normal,False
2026-06-10T02:36:40.864630304+00:00,3,19,7,97.536,-62,11.5,868.5,3211.5,normal,False
2026-06-10T02:36:45.136215260+00:00,1,18,7,97.536,-53,13.2,867.3,4271.6,normal,False
2026-06-10T02:36:47.424772467+00:00,2,19,7,97.536,-59,11.2,867.5,2288.6,normal,False
2026-06-10T02:36:53.115850194+00:00,4,20,7,97.536,-57,13.8,868.3,5691.1,normal,False
2026-06-10T02:36:55.868483203+00:00,3,20,7,97.536,-63,9.8,867.5,2752.6,normal,False
2026-06-10T02:36:59.153969486+00:00,1,19,7,97.536,-54,9.5,868.5,3285.5,normal,False
2026-06-10T02:37:02.024290749+00:00,2,20,7,97.536,-58,13.8,868.3,2870.3,normal,False
2026-06-10T02:37:08.785057192+00:00,4,21,7,97.536,-58,14.2,867.9,6760.8,normal,False
2026-06-10T02:37:10.872021379+00:00,3,21,7,97.536,-63,14.2,868.3,2087.0,normal,False
2026-06-10T02:37:13.134799130+00:00,1,20,7,97.536,-58,13.8,867.9,2262.8,normal,False
2026-06-10T02:37:16.431916003+00:00,2,21,7,97.536,-57,13.8,868.1,3297.1,normal,False
2026-06-10T02:37:24.132287889+00:00,4,22,7,97.536,-57,10.2,867.5,7700.4,normal,False
2026-06-10T02:37:25.852759835+00:00,3,22,7,97.536,-58,10.5,868.5,1720.5,normal,False
