timestamp,node_id,fcnt,sf,toa_teorico_ms,rssi,snr,frequency_mhz,delta_t_ms,observation,potential_collision
2026-06-03T06:54:56.648404899+00:00,4,0,7,97.536,-41,14.2,868.3,,primeiro,False
2026-06-03T06:55:02.782977539+00:00,4,1,7,97.536,-41,14.0,867.7,6134.6,normal,False
2026-06-03T06:55:06.398814501+00:00,3,0,7,97.536,-59,13.5,867.1,3615.8,normal,False
2026-06-03T06:55:08.320594910+00:00,4,2,7,97.536,-41,11.0,867.5,1921.8,normal,False
2026-06-03T06:55:11.735392061+00:00,3,1,7,97.536,-63,14.0,867.7,3414.8,normal,False
2026-06-03T06:55:14.149187895+00:00,4,3,7,97.536,-40,11.0,868.5,2413.8,normal,False
2026-06-03T06:55:17.071820758+00:00,3,2,7,97.536,-64,13.8,867.3,2922.6,normal,False
2026-06-03T06:55:19.991426710+00:00,4,4,7,97.536,-40,13.8,867.1,2919.6,normal,False
2026-06-03T06:55:22.405043806+00:00,3,3,7,97.536,-60,14.0,868.1,2413.6,normal,False
2026-06-03T06:55:25.826800045+00:00,4,5,7,97.536,-38,14.0,867.1,3421.8,normal,False
2026-06-03T06:55:26.737603869+00:00,1,0,7,97.536,-55,13.8,867.9,910.8,normal,False
2026-06-03T06:55:30.866630818+00:00,2,0,7,97.536,-66,14.0,867.7,4129.0,normal,False
2026-06-03T06:55:31.073636860+00:00,1,1,7,97.536,-52,13.8,868.1,207.0,normal,False
2026-06-03T06:55:31.674052771+00:00,4,6,7,97.536,-40,13.2,867.9,600.4,normal,False
2026-06-03T06:55:37.395928863+00:00,3,5,7,97.536,-57,14.2,868.1,5721.9,normal,False
2026-06-03T06:55:37.398858264+00:00,2,1,7,97.536,-66,13.8,868.3,2.9,normal,False
2026-06-03T06:55:37.410264949+00:00,1,2,7,97.536,-53,13.0,868.1,11.4,normal,False
2026-06-03T06:55:37.494938043+00:00,4,7,7,97.536,-40,13.8,867.9,84.7,normal,False
2026-06-03T06:55:41.302953117+00:00,1,3,7,97.536,-56,14.0,867.7,3808.0,normal,False
2026-06-03T06:55:41.522537977+00:00,3,6,7,97.536,-50,13.2,868.3,219.6,normal,False
2026-06-03T06:55:42.103319255+00:00,2,2,7,97.536,-60,10.8,868.5,580.8,normal,False
2026-06-03T06:55:43.326158673+00:00,4,8,7,97.536,-44,14.0,867.9,1222.8,normal,False
2026-06-03T06:55:45.635521620+00:00,1,4,7,97.536,-50,13.5,868.3,2309.4,normal,False
2026-06-03T06:55:46.858712259+00:00,3,7,7,97.536,-62,14.2,867.3,1223.2,normal,False
2026-06-03T06:55:46.932259350+00:00,2,3,7,97.536,-55,13.8,867.9,73.5,normal,False
2026-06-03T06:55:53.574171965+00:00,3,8,7,97.536,-55,8.5,867.5,6641.9,normal,True
2026-06-03T06:55:53.575292967+00:00,2,4,7,97.536,-57,10.5,867.5,1.1,overlap_toa,True
2026-06-03T06:55:55.866410107+00:00,1,6,7,97.536,-57,14.5,867.1,2291.1,normal,False
2026-06-03T06:55:56.549658375+00:00,4,10,7,97.536,-43,10.5,867.5,683.2,normal,False
2026-06-03T06:55:58.160933980+00:00,2,5,7,97.536,-47,13.5,867.3,1611.3,normal,False
2026-06-03T06:55:59.078553007+00:00,3,9,7,97.536,-51,14.5,868.1,917.6,normal,False
2026-06-03T06:56:02.383634278+00:00,4,11,7,97.536,-41,13.8,867.9,3305.1,normal,False
2026-06-03T06:56:02.994877824+00:00,2,6,7,97.536,-47,13.8,868.1,611.2,normal,False
2026-06-03T06:56:04.423641383+00:00,3,10,7,97.536,-51,10.8,867.5,1428.8,normal,False
2026-06-03T06:56:06.086190027+00:00,1,8,7,97.536,-54,14.0,867.1,1662.5,normal,False
2026-06-03T06:56:07.825541273+00:00,2,7,7,97.536,-48,10.8,868.5,1739.4,normal,False
2026-06-03T06:56:08.209916655+00:00,4,12,7,97.536,-40,11.5,868.5,384.4,normal,False
2026-06-03T06:56:09.749656858+00:00,3,11,7,97.536,-50,13.8,867.3,1539.7,normal,False
2026-06-03T06:56:10.421587502+00:00,1,9,7,97.536,-54,13.5,867.1,671.9,normal,False
2026-06-03T06:56:12.662375205+00:00,2,8,7,97.536,-45,14.0,867.1,2240.8,normal,False
2026-06-03T06:56:14.054880379+00:00,4,13,7,97.536,-39,11.8,868.5,1392.5,normal,False
2026-06-03T06:56:14.758682856+00:00,1,10,7,97.536,-55,13.2,867.9,703.8,normal,False
2026-06-03T06:56:17.491583637+00:00,2,9,7,97.536,-47,11.5,868.5,2732.9,normal,False
2026-06-03T06:56:19.088170965+00:00,1,11,7,97.536,-53,13.5,868.3,1596.6,normal,False
2026-06-03T06:56:19.889408948+00:00,4,14,7,97.536,-41,13.5,867.9,801.2,normal,False
2026-06-03T06:56:21.975969512+00:00,3,13,7,97.536,-52,12.0,868.5,2086.6,normal,False
2026-06-03T06:56:22.340488837+00:00,2,10,7,97.536,-47,11.5,867.5,364.5,normal,False
2026-06-03T06:56:28.597261724+00:00,2,11,7,97.536,-45,14.5,867.3,6256.8,normal,False
2026-06-03T06:56:28.598801017+00:00,3,14,7,97.536,-51,11.8,867.5,1.5,normal,True
2026-06-03T06:56:28.598943718+00:00,4,15,7,97.536,-39,11.0,867.5,0.1,overlap_toa,True
2026-06-03T06:56:33.111959454+00:00,4,16,7,97.536,-44,13.5,867.3,4513.0,normal,False
2026-06-03T06:56:33.555302743+00:00,2,12,7,97.536,-45,11.8,868.5,443.3,normal,False
2026-06-03T06:56:35.203735760+00:00,1,14,7,97.536,-52,14.0,868.3,1648.4,normal,False
2026-06-03T06:56:35.214902486+00:00,3,15,7,97.536,-45,14.2,867.3,11.2,normal,False
2026-06-03T06:56:42.317959384+00:00,3,16,7,97.536,-46,11.5,867.5,7103.1,normal,True
2026-06-03T06:56:42.318758465+00:00,1,15,7,97.536,-52,11.8,867.5,0.8,overlap_toa,True
2026-06-03T06:56:44.776668593+00:00,2,14,7,97.536,-48,13.5,867.7,2457.9,normal,False
2026-06-03T06:56:45.438973933+00:00,1,16,7,97.536,-55,8.8,868.5,662.3,normal,False
2026-06-03T06:56:46.339747906+00:00,4,18,7,97.536,-38,14.2,867.1,900.8,normal,False
2026-06-03T06:56:52.367145787+00:00,2,15,7,97.536,-48,13.8,867.7,6027.4,normal,False
2026-06-03T06:56:52.370247408+00:00,1,17,7,97.536,-55,10.5,867.5,3.1,normal,False
2026-06-03T06:56:52.371825496+00:00,4,19,7,97.536,-38,11.8,868.5,1.6,normal,False
2026-06-03T06:56:54.330817693+00:00,3,18,7,97.536,-57,14.0,868.3,1959.0,normal,False
2026-06-03T06:56:55.662602740+00:00,1,18,7,97.536,-52,13.5,868.1,1331.8,normal,False
2026-06-03T06:56:56.012164052+00:00,2,16,7,97.536,-47,13.5,867.9,349.6,normal,False
2026-06-03T06:56:58.003279823+00:00,4,20,7,97.536,-40,14.0,867.1,1991.1,normal,False
2026-06-03T06:56:59.667841098+00:00,3,19,7,97.536,-51,14.0,868.1,1664.6,normal,False
2026-06-03T06:56:59.993281984+00:00,1,19,7,97.536,-52,13.5,868.1,325.4,normal,False
2026-06-03T06:57:03.842139651+00:00,4,21,7,97.536,-41,14.0,867.9,3848.9,normal,False
2026-06-03T06:57:04.322867479+00:00,1,20,7,97.536,-53,13.5,867.9,480.7,normal,False
2026-06-03T06:57:07.232214938+00:00,2,18,7,97.536,-45,14.0,867.3,2909.3,normal,False
2026-06-03T06:57:08.668872507+00:00,1,21,7,97.536,-64,12.8,867.1,1436.7,normal,False
2026-06-03T06:57:11.891934480+00:00,3,21,7,97.536,-49,14.5,867.1,3223.1,normal,False
2026-06-03T06:57:12.064993163+00:00,2,19,7,97.536,-45,14.2,868.3,173.1,normal,False
2026-06-03T06:57:19.601708010+00:00,3,22,7,97.536,-50,10.5,868.5,7536.7,normal,False
2026-06-03T06:57:19.601739361+00:00,1,23,7,97.536,-53,13.5,867.7,0.0,normal,False
2026-06-03T06:57:19.606721659+00:00,4,23,7,97.536,-38,11.5,867.5,5.0,normal,False
2026-06-03T06:57:19.610103184+00:00,2,20,7,97.536,-48,10.2,868.5,3.4,normal,False
2026-06-03T06:57:23.293130207+00:00,2,21,7,97.536,-45,14.0,867.1,3683.0,normal,False
2026-06-03T06:57:24.112227356+00:00,3,23,7,97.536,-51,14.0,868.1,819.1,normal,False
2026-06-03T06:57:24.778346751+00:00,1,24,7,97.536,-53,13.2,867.3,666.1,normal,False
2026-06-03T06:57:30.855887918+00:00,2,22,7,97.536,-66,12.2,868.1,6077.5,normal,False
2026-06-03T06:57:30.855908436+00:00,3,24,7,97.536,-48,13.8,868.3,0.0,normal,False
2026-06-03T06:57:30.859417885+00:00,1,25,7,97.536,-56,13.5,867.7,3.5,normal,False
2026-06-03T06:57:34.513738557+00:00,2,23,7,97.536,-54,14.0,867.9,3654.3,normal,False
2026-06-03T06:57:35.009498214+00:00,1,26,7,97.536,-57,14.5,867.7,495.8,normal,False
2026-06-03T06:57:36.341280466+00:00,3,25,7,97.536,-50,14.5,868.3,1331.8,normal,False
2026-06-03T06:57:39.234316967+00:00,4,26,7,97.536,-42,13.5,867.7,2893.0,normal,False
2026-06-03T06:57:39.338935797+00:00,1,27,7,97.536,-59,12.0,868.5,104.6,normal,False
2026-06-03T06:57:39.351480929+00:00,2,24,7,97.536,-59,12.8,867.9,12.5,normal,False
2026-06-03T06:57:46.016393465+00:00,4,27,7,97.536,-43,13.8,867.9,6664.9,normal,False
2026-06-03T06:57:46.025207040+00:00,1,28,7,97.536,-57,14.8,868.3,8.8,normal,False
2026-06-03T06:57:46.025296187+00:00,2,25,7,97.536,-53,13.8,868.1,0.1,normal,False
2026-06-03T06:57:50.578584640+00:00,2,26,7,97.536,-54,14.0,868.1,4553.3,normal,False
2026-06-03T06:57:52.125546906+00:00,1,29,7,97.536,-56,14.0,867.3,1547.0,normal,False
2026-06-03T06:57:52.460925011+00:00,4,28,7,97.536,-42,11.0,867.5,335.4,normal,False
2026-06-03T06:57:55.407593542+00:00,2,27,7,97.536,-55,13.5,868.3,2946.7,normal,False
2026-06-03T06:57:55.465751252+00:00,3,28,7,97.536,-51,14.0,867.7,58.2,normal,False
2026-06-03T06:58:01.161219020+00:00,2,28,7,97.536,-50,8.5,868.5,5695.5,normal,False
2026-06-03T06:58:05.693835188+00:00,4,30,7,97.536,-38,14.2,867.1,4532.6,normal,False
2026-06-03T06:58:06.642014947+00:00,2,29,7,97.536,-47,13.8,868.1,948.2,normal,False
2026-06-03T06:58:08.239356627+00:00,1,32,7,97.536,-53,11.8,867.5,1597.3,normal,False
2026-06-03T06:58:11.474485385+00:00,2,30,7,97.536,-46,11.8,867.5,3235.1,normal,False
2026-06-03T06:58:11.524330235+00:00,4,31,7,97.536,-37,14.0,867.7,49.8,normal,False
2026-06-03T06:58:18.991517645+00:00,3,31,7,97.536,-50,13.8,867.3,7467.2,normal,False
2026-06-03T06:58:19.002400709+00:00,1,34,7,97.536,-59,14.2,867.9,10.9,normal,False
2026-06-03T06:58:19.003269271+00:00,2,31,7,97.536,-48,14.5,868.1,0.9,normal,False
2026-06-03T06:58:19.010262725+00:00,4,32,7,97.536,-44,14.2,868.3,7.0,normal,False
2026-06-03T06:58:22.701542233+00:00,2,32,7,97.536,-45,13.8,868.1,3691.3,normal,False
2026-06-03T06:58:22.809910382+00:00,1,35,7,97.536,-54,11.8,868.5,108.4,normal,False
2026-06-03T06:58:23.028866739+00:00,3,32,7,97.536,-57,14.0,867.7,219.0,normal,False
2026-06-03T06:58:24.752689747+00:00,4,33,7,97.536,-39,13.8,867.1,1723.8,normal,False
2026-06-03T06:58:30.253465445+00:00,1,36,7,97.536,-53,13.8,868.1,5500.8,normal,True
2026-06-03T06:58:30.254329192+00:00,2,33,7,97.536,-45,14.5,868.1,0.9,overlap_toa,True
2026-06-03T06:58:30.267534167+00:00,3,33,7,97.536,-54,13.8,868.3,13.2,normal,False
2026-06-03T06:58:33.925809309+00:00,2,34,7,97.536,-45,13.5,867.7,3658.3,normal,False
2026-06-03T06:58:34.589053609+00:00,1,37,7,97.536,-53,11.5,868.5,663.2,normal,False
2026-06-03T06:58:35.249458080+00:00,3,34,7,97.536,-54,14.5,867.1,660.4,normal,False
