timestamp;node_id;session_id;f_cnt;collisions_detected
2026-06-09T10:10:48.416034278+00:00;3;1;5;1
2026-06-09T10:10:54.028629712+00:00;2;1;7;1
2026-06-09T10:11:10.322796749+00:00;1;1;9;2
2026-06-09T10:11:39.106585671+00:00;1;1;15;1
2026-06-09T10:12:12.035970225+00:00;2;1;22;1
2026-06-09T10:12:12.425438287+00:00;3;1;20;1
2026-06-09T10:12:46.302580830+00:00;1;1;29;1
2026-06-09T10:13:19.902212971+00:00;1;1;36;2
2026-06-09T10:13:30.028527807+00:00;2;1;37;1
2026-06-09T10:13:36.422682199+00:00;3;1;35;1
2026-06-09T10:13:53.505149630+00:00;1;1;43;1
2026-06-09T10:14:17.509931879+00:00;1;1;48;1
2026-06-09T10:14:27.114468113+00:00;1;1;50;1
2026-06-09T10:14:41.815358750+00:00;4;1;47;1
2026-06-09T10:14:48.027428107+00:00;2;1;52;1
2026-06-09T10:15:00.435703705+00:00;3;1;50;1
2026-06-09T10:15:19.911169927+00:00;1;1;61;1
2026-06-09T10:15:34.310729758+00:00;1;1;64;1
2026-06-09T10:15:34.831277022+00:00;2;1;61;1
2026-06-09T10:15:53.563780671+00:00;1;1;68;1
2026-06-09T10:15:53.803650461+00:00;4;1;59;1
2026-06-09T10:16:06.032541622+00:00;2;1;67;1
2026-06-09T10:16:07.915727248+00:00;1;1;71;1
2026-06-09T10:16:22.327199043+00:00;1;1;74;1
2026-06-09T10:16:24.439892392+00:00;3;1;65;1
2026-06-09T10:16:41.284218410+00:00;3;1;68;1
2026-06-09T10:16:41.817021323+00:00;4;1;67;1
2026-06-09T10:17:05.526663774+00:00;1;1;83;1
2026-06-09T10:17:15.142879836+00:00;1;1;85;1
2026-06-09T10:17:24.034921290+00:00;2;1;82;1
2026-06-09T10:17:48.449754100+00:00;3;1;80;2
2026-06-09T10:18:00.434320898+00:00;2;1;89;1
2026-06-09T10:18:27.127308406+00:00;1;1;100;2
2026-06-09T10:18:41.707866415+00:00;1;1;103;1
2026-06-09T10:18:42.032782305+00:00;2;1;97;1
2026-06-09T10:18:55.923727762+00:00;1;1;106;1
2026-06-09T10:19:12.446847798+00:00;3;1;95;1
2026-06-09T10:19:29.526007299+00:00;1;1;113;1
2026-06-09T10:19:47.826692971+00:00;4;1;98;1
2026-06-09T10:20:00.034511441+00:00;2;1;112;1
2026-06-09T10:20:03.120357167+00:00;1;1;120;1
2026-06-09T10:20:26.046512408+00:00;2;1;117;1
2026-06-09T10:20:31.932995913+00:00;1;1;126;1
2026-06-09T10:20:36.466177972+00:00;3;1;110;1
2026-06-09T10:20:53.837225870+00:00;4;1;109;1
2026-06-09T10:21:10.337460104+00:00;1;1;134;1
2026-06-09T10:21:18.044472614+00:00;2;1;127;1
2026-06-09T10:21:34.341473497+00:00;1;1;139;1
2026-06-09T10:21:38.846844102+00:00;2;1;131;1
2026-06-09T10:21:43.925348339+00:00;1;1;141;1
2026-06-09T10:22:00.457829545+00:00;3;1;125;1
2026-06-09T10:22:17.528723346+00:00;1;1;148;1
2026-06-09T10:22:36.039636673+00:00;2;1;142;1
2026-06-09T10:22:51.131260666+00:00;1;1;155;1
2026-06-09T10:22:51.650877973+00:00;2;1;145;1
2026-06-09T10:23:10.419126608+00:00;1;1;159;1
2026-06-09T10:23:11.859564569+00:00;4;1;132;1
2026-06-09T10:23:24.460534427+00:00;3;1;140;1
2026-06-09T10:23:39.139065349+00:00;1;1;165;1
2026-06-09T10:23:58.068215264+00:00;3;1;146;1
2026-06-09T10:24:04.455389460+00:00;2;1;159;1
2026-06-09T10:24:22.346929061+00:00;1;1;174;1
2026-06-09T10:24:23.849903984+00:00;4;1;144;1
2026-06-09T10:24:31.935982470+00:00;1;1;176;1
2026-06-09T10:24:41.546679247+00:00;1;1;178;1
2026-06-09T10:24:47.855235601+00:00;4;1;148;1
2026-06-09T10:24:59.672828357+00:00;3;1;157;1
2026-06-09T10:24:59.856022434+00:00;4;1;150;1
2026-06-09T10:25:05.533323031+00:00;1;1;183;1
2026-06-09T10:25:17.255303716+00:00;2;1;173;1
2026-06-09T10:25:35.900829841+00:00;4;1;156;1
2026-06-09T10:25:43.953785437+00:00;1;1;191;2
2026-06-09T10:26:01.282218296+00:00;3;1;168;1
2026-06-09T10:26:05.864378773+00:00;4;1;161;1
2026-06-09T10:26:12.473699824+00:00;3;1;170;1
2026-06-09T10:26:30.055592674+00:00;2;1;187;1
