timestamp;node_id;fcnt;sf;toa_teorico_ms;rssi;snr;frequency_mhz;delta_t_ms;observation;potential_collision
2026-06-09T06:30:04.571737637+00:00;4;0;7;97.536;-55;11.2;867.5;;primeiro;False
2026-06-09T06:30:08.132766404+00:00;4;1;7;97.536;-58;14.2;867.1;3561.0;normal;False
2026-06-09T06:30:11.698052724+00:00;4;2;7;97.536;-56;13.5;867.9;3565.3;normal;False
2026-06-09T06:30:13.167037434+00:00;3;0;7;97.536;-52;11.8;867.5;1469.0;normal;False
2026-06-09T06:30:16.614584868+00:00;3;1;7;97.536;-54;13.5;867.9;3447.5;normal;False
2026-06-09T06:30:18.769900352+00:00;4;4;7;97.536;-56;13.8;867.1;2155.3;normal;False
2026-06-09T06:30:22.344611247+00:00;4;5;7;97.536;-56;14.5;867.7;3574.7;normal;False
2026-06-09T06:30:23.068488669+00:00;3;3;7;97.536;-51;14.0;867.1;723.9;normal;False
2026-06-09T06:30:25.883976538+00:00;4;6;7;97.536;-57;14.0;867.7;2815.5;normal;False
2026-06-09T06:30:26.377204885+00:00;3;4;7;97.536;-53;13.5;867.9;493.2;normal;False
2026-06-09T06:30:27.362192693+00:00;2;0;7;97.536;-50;14.2;867.9;985.0;normal;False
2026-06-09T06:30:30.449026819+00:00;2;1;7;97.536;-48;11.8;868.5;3086.8;normal;False
2026-06-09T06:30:32.970524923+00:00;3;6;7;97.536;-51;10.5;868.5;2521.5;normal;False
2026-06-09T06:30:32.981989550+00:00;4;8;7;97.536;-56;14.5;867.3;11.5;normal;False
2026-06-09T06:30:33.506828783+00:00;2;2;7;97.536;-49;13.5;867.9;524.8;normal;False
2026-06-09T06:30:36.209025704+00:00;1;0;7;97.536;-54;13.5;868.3;2702.2;normal;False
2026-06-09T06:30:36.280032341+00:00;3;7;7;97.536;-50;13.2;867.3;71.0;normal;False
2026-06-09T06:30:36.530431200+00:00;4;9;7;97.536;-57;13.5;867.9;250.4;normal;False
2026-06-09T06:30:36.563566266+00:00;2;3;7;97.536;-47;13.2;867.1;33.1;normal;False
