timestamp,node_id,session_id,f_cnt,collisions_detected
2026-05-28T18:23:50.972242296+00:00,1,1,2,1
2026-05-28T18:24:51.199595789+00:00,1,1,4,1
2026-05-28T18:27:01.054323754+00:00,2,1,10,1
2026-05-28T18:30:41.988821828+00:00,2,1,17,1
2026-05-28T18:40:44.648049675+00:00,3,1,35,1
2026-05-28T18:45:20.852635674+00:00,2,1,45,1
2026-05-28T18:51:46.138575577+00:00,1,1,59,1
2026-05-28T19:01:57.640218057+00:00,4,1,67,1
2026-05-28T19:03:42.224218577+00:00,2,1,80,2
2026-05-28T19:14:56.562758444+00:00,4,1,89,1
2026-05-28T19:31:24.500437679+00:00,2,1,133,1
2026-05-28T19:49:36.935071687+00:00,1,1,177,1
2026-05-28T19:50:16.120525947+00:00,3,1,160,1
2026-05-28T19:50:18.171979593+00:00,4,1,149,1
2026-05-28T19:55:02.408149684+00:00,4,1,157,1
2026-05-28T19:56:29.175001051+00:00,1,1,191,1
2026-05-28T19:59:08.338212220+00:00,2,1,186,1
2026-05-28T19:59:44.372511955+00:00,3,1,177,1
2026-05-28T20:04:23.244510877+00:00,2,1,196,1
2026-05-28T20:09:11.986335193+00:00,4,1,181,1
2026-05-28T20:18:01.453053082+00:00,1,1,235,1
2026-05-28T20:26:52.183512285+00:00,2,1,239,1
2026-05-28T20:30:16.376751910+00:00,1,1,260,1
2026-05-28T20:41:32.625123740+00:00,1,1,283,1
2026-05-28T20:42:32.844509432+00:00,1,1,285,1
2026-05-28T20:52:04.040475285+00:00,3,1,271,1
2026-05-28T20:54:49.295194953+00:00,1,1,310,1
2026-05-28T20:59:19.605878030+00:00,2,1,301,1
2026-05-28T21:00:27.189541885+00:00,3,1,286,1
2026-05-28T21:05:06.875440237+00:00,1,1,331,1
2026-05-28T21:07:05.779609747+00:00,1,1,335,1
2026-05-28T21:09:47.834165798+00:00,2,1,321,1
2026-05-28T21:11:05.219013015+00:00,4,1,286,1
2026-05-28T21:19:20.687398048+00:00,1,1,360,1
2026-05-28T21:28:39.592761025+00:00,1,1,379,1
2026-05-28T21:31:45.030820533+00:00,4,1,321,1
2026-05-28T21:32:11.896532273+00:00,3,1,343,1
2026-05-28T21:43:21.185978030+00:00,1,1,409,1
2026-05-28T21:50:42.758924374+00:00,1,1,424,1
2026-05-28T21:55:20.135967018+00:00,2,1,408,1
2026-05-28T21:56:06.999094502+00:00,1,1,435,1
2026-05-28T22:00:41.120765112+00:00,4,1,370,1
2026-05-28T22:05:03.288825803+00:00,3,1,402,1
2026-05-28T22:10:07.995013184+00:00,4,1,386,1
2026-05-28T22:11:01.740589318+00:00,2,1,438,1
2026-05-28T22:17:50.648904340+00:00,2,1,451,1
2026-05-28T22:18:24.246019733+00:00,4,1,400,1
2026-05-28T22:23:05.539574227+00:00,2,1,461,1
2026-05-28T22:31:28.467315527+00:00,2,1,477,1
2026-05-28T22:33:09.156547270+00:00,4,1,425,1
2026-05-28T22:46:11.596620991+00:00,3,1,476,1
2026-05-28T22:49:01.364054890+00:00,1,1,543,1
2026-05-28T22:53:12.074338036+00:00,4,1,459,1
2026-05-28T22:53:24.943031272+00:00,3,1,489,2
2026-05-28T22:53:25.354782995+00:00,1,1,552,2
2026-05-28T22:53:58.949750691+00:00,2,1,520,3
2026-05-28T22:57:53.168840439+00:00,3,1,497,1
2026-05-28T23:00:41.406740739+00:00,3,1,502,1
2026-05-28T23:00:46.928313285+00:00,1,1,567,1
2026-05-28T23:00:52.983569394+00:00,4,1,472,1
2026-05-28T23:02:56.287965582+00:00,3,1,506,1
2026-05-28T23:09:36.510638037+00:00,1,1,585,1
2026-05-28T23:12:41.211401189+00:00,4,1,492,1
2026-05-28T23:13:32.732718252+00:00,1,1,593,1
2026-05-28T23:17:32.091719799+00:00,2,1,565,1
2026-05-28T23:28:33.402904340+00:00,2,1,586,2
2026-05-28T23:29:13.698929436+00:00,4,1,520,1
2026-05-28T23:30:46.124567188+00:00,3,1,556,1
2026-05-28T23:40:57.023008204+00:00,1,1,649,1
2026-05-28T23:46:55.297759330+00:00,4,1,550,1
2026-05-29T00:01:01.266336254+00:00,1,1,690,1
2026-05-29T00:08:08.866876849+00:00,4,1,586,1
2026-05-29T00:10:49.522357198+00:00,1,1,710,1
2026-05-29T00:16:25.777938111+00:00,3,1,638,1
2026-05-29T00:17:46.441358278+00:00,2,1,680,1
2026-05-29T00:19:22.005490441+00:00,2,1,683,1
2026-05-29T00:24:04.661135106+00:00,1,1,737,1
2026-05-29T00:28:00.888692799+00:00,1,1,745,1
2026-05-29T00:30:36.273931785+00:00,4,1,624,1
2026-05-29T00:32:02.250750535+00:00,3,1,666,2
2026-05-29T00:38:42.920429554+00:00,2,1,720,1
2026-05-29T00:47:05.829652649+00:00,2,1,736,1
2026-05-29T00:47:35.816940768+00:00,1,1,785,1
2026-05-29T00:48:12.068472590+00:00,3,1,695,1
2026-05-29T00:57:09.410906464+00:00,4,1,669,1
2026-05-29T00:58:52.071892866+00:00,1,1,808,1
2026-05-29T01:14:49.674187551+00:00,2,1,789,1
2026-05-29T01:20:10.555744645+00:00,4,1,708,1
2026-05-29T01:21:01.925537620+00:00,3,1,754,1
2026-05-29T01:26:51.895075038+00:00,2,1,812,1
2026-05-29T01:31:36.808740678+00:00,3,1,773,1
2026-05-29T01:42:01.284962847+00:00,1,1,896,1
2026-05-29T01:42:33.483841580+00:00,2,1,842,1
2026-05-29T01:45:28.182991030+00:00,1,1,903,1
2026-05-29T01:57:12.404659901+00:00,2,1,870,1
2026-05-29T02:06:09.767221304+00:00,4,1,786,1
2026-05-29T02:14:23.583061190+00:00,1,1,962,1
2026-05-29T02:22:17.997226719+00:00,2,1,918,1
2026-05-29T02:34:53.139397792+00:00,2,1,942,1
2026-05-29T02:35:38.048181799+00:00,4,1,836,1
2026-05-29T02:36:08.281065912+00:00,3,1,889,1
2026-05-29T02:42:16.517438607+00:00,3,1,900,1
2026-05-29T02:43:16.048375721+00:00,2,1,958,1
2026-05-29T02:49:09.428920658+00:00,1,1,1033,1
2026-05-29T02:58:00.566616379+00:00,1,1,1051,1
2026-05-29T02:59:30.210001640+00:00,1,1,1054,1
2026-05-29T03:01:02.965422677+00:00,2,1,992,1
2026-05-29T03:08:24.781115734+00:00,3,1,947,1
2026-05-29T03:10:59.871008293+00:00,2,1,1011,1
2026-05-29T03:16:14.780435844+00:00,2,1,1021,1
2026-05-29T03:18:37.290711504+00:00,1,1,1093,1
2026-05-29T03:21:03.420295760+00:00,4,1,913,1
2026-05-29T03:23:02.839781776+00:00,1,1,1102,1
2026-05-29T03:25:40.352253334+00:00,2,1,1039,1
2026-05-29T03:32:30.814368480+00:00,2,1,1052,1
2026-05-29T03:35:40.375237097+00:00,2,1,1058,1
2026-05-29T03:45:06.033887238+00:00,1,1,1147,1
2026-05-29T03:50:20.847803084+00:00,2,1,1086,1
2026-05-29T03:53:27.795536061+00:00,1,1,1164,1
2026-05-29T03:54:01.752011310+00:00,2,1,1093,1
2026-05-29T03:57:53.365501626+00:00,1,1,1173,1
2026-05-29T04:02:24.650005977+00:00,2,1,1109,1
2026-05-29T04:02:55.282813348+00:00,4,1,984,1
2026-05-29T04:04:07.502608426+00:00,4,1,986,1
2026-05-29T04:08:40.290421376+00:00,1,1,1195,1
2026-05-29T04:08:42.251828099+00:00,2,1,1121,1
2026-05-29T04:15:31.126271250+00:00,2,1,1134,1
2026-05-29T04:19:04.449399398+00:00,3,1,1074,1
2026-05-29T04:21:17.364907908+00:00,2,1,1145,1
2026-05-29T04:23:23.418375385+00:00,1,1,1225,1
2026-05-29T04:24:11.982742688+00:00,4,1,1020,1
2026-05-29T04:28:56.217844857+00:00,4,1,1028,1
2026-05-29T04:31:20.944210936+00:00,3,1,1096,1
2026-05-29T04:34:15.792064834+00:00,4,1,1037,1
2026-05-29T04:38:01.630270081+00:00,2,1,1177,1
2026-05-29T04:40:08.509004070+00:00,2,1,1181,1
